distance_km,traffic_hours,vehicle_avg_speed,vehicle_type,road_condition,weather_condition,actual_time_minutes,route_from,route_to,road_type
24.05,6.48,50.99,truck,fair,cloudy,36.74,Bhairahawa,Butwal,terai
124.69,8.51,48.17,bus,poor,fog,480.83,Pokhara,Butwal,highway
7.27,7.35,15.67,scooter,fair,cloudy,66.73,Kathmandu,Patan,city
62.09,14.14,43.59,truck,good,fog,121.17,Birgunj,Hetauda,terai
202.96,11.26,66.24,motorcycle,poor,dust,285.69,Kathmandu,Pokhara,highway
33.76,9.13,34.04,motorcycle,fair,cloudy,134.68,Kathmandu,Nagarkot,hill
11.78,6.91,31.25,bus,good,clear,33.7,Pokhara,Sarangkot,hill
12.84,11.24,31.2,bus,poor,rain,83.73,Pokhara,Sarangkot,hill
153.68,4.2,48.68,scooter,poor,dust,329.12,Kathmandu,Chitwan,highway
31.76,2.11,42.47,bus,poor,rain,190.04,Biratnagar,Dharan,terai
60.08,23.35,45.49,scooter,fair,clear,173.3,Birgunj,Hetauda,terai
31.72,3.47,36.92,microbus,fair,fog,117.81,Kathmandu,Nagarkot,hill
12.56,18.3,26.52,motorcycle,good,dust,54.14,Kathmandu,Bhaktapur,city
135.09,23.16,60.87,bus,poor,clear,362.12,Kathmandu,Chitwan,highway
34.16,7.6,60.47,jeep,good,clear,47.25,Biratnagar,Dharan,terai
140.87,1.35,49.0,bus,excellent,cloudy,179.33,Kathmandu,Chitwan,highway
8.64,16.26,14.01,microbus,poor,clear,139.87,Biratnagar,Itahari,city
6.68,13.58,27.51,jeep,poor,cloudy,27.57,Kathmandu,Patan,city
297.19,15.51,58.93,bus,excellent,rain,471.61,Kathmandu,Bhairahawa,highway
71.08,7.08,40.1,truck,excellent,clear,153.94,Birgunj,Hetauda,terai
30.51,19.73,21.73,bus,good,cloudy,149.72,Kathmandu,Dhulikhel,hill
34.48,3.25,35.66,motorcycle,poor,fog,194.93,Kathmandu,Nagarkot,hill
301.45,8.81,54.68,jeep,good,dust,560.36,Kathmandu,Bhairahawa,highway
32.95,5.18,38.12,truck,fair,clear,61.05,Biratnagar,Dharan,terai
135.1,10.1,72.37,car,good,rain,173.45,Kathmandu,Chitwan,highway
274.46,21.82,76.98,car,good,clear,211.55,Kathmandu,Bhairahawa,highway
36.55,5.16,73.92,motorcycle,good,cloudy,31.95,Biratnagar,Dharan,terai
136.52,14.07,46.8,scooter,fair,cloudy,248.84,Kathmandu,Birgunj,highway
34.07,18.29,35.46,scooter,good,dust,86.21,Biratnagar,Dharan,terai
136.79,9.61,61.39,microbus,poor,rain,424.02,Kathmandu,Birgunj,highway
29.66,10.17,23.69,scooter,good,clear,93.32,Kathmandu,Dhulikhel,hill
38.81,11.93,31.37,motorcycle,good,clear,105.51,Dharan,Dhankuta,hill
6.33,7.79,25.46,truck,good,fog,30.48,Kathmandu,Patan,city
20.65,18.62,50.55,bus,fair,clear,41.28,Bhairahawa,Butwal,terai
45.06,15.05,28.73,microbus,good,clear,191.41,Dharan,Dhankuta,hill
144.53,19.43,50.08,jeep,fair,clear,194.35,Kathmandu,Chitwan,highway
14.09,9.29,16.33,truck,fair,cloudy,183.5,Kathmandu,Bhaktapur,city
6.48,17.0,21.19,car,good,rain,60.15,Kathmandu,Patan,city
61.0,23.99,39.89,microbus,fair,cloudy,132.73,Birgunj,Hetauda,terai
7.27,8.74,17.78,jeep,good,cloudy,61.15,Biratnagar,Itahari,city
22.12,23.18,37.49,truck,fair,clear,41.28,Bhairahawa,Butwal,terai
34.03,21.22,33.3,car,good,cloudy,97.97,Kathmandu,Nagarkot,hill
8.18,21.73,20.12,car,fair,fog,42.85,Biratnagar,Itahari,city
22.33,17.24,44.58,bus,fair,clear,51.27,Bhairahawa,Butwal,terai
12.36,0.39,12.26,truck,good,cloudy,68.78,Kathmandu,Bhaktapur,city
438.15,22.64,58.8,car,excellent,fog,495.66,Kathmandu,Dharan,highway
12.84,9.6,36.18,motorcycle,good,clear,43.9,Kathmandu,Bhaktapur,city
12.86,17.22,32.98,microbus,good,rain,71.17,Pokhara,Sarangkot,hill
7.26,1.61,20.93,truck,good,clear,19.38,Biratnagar,Itahari,city
21.5,13.47,51.5,bus,fair,dust,36.41,Bhairahawa,Butwal,terai
13.54,13.19,26.26,bus,poor,rain,108.93,Kathmandu,Bhaktapur,city
138.02,2.07,49.56,bus,fair,rain,368.94,Kathmandu,Birgunj,highway
133.18,21.85,74.94,car,fair,clear,136.45,Kathmandu,Birgunj,highway
22.62,14.2,34.2,scooter,fair,fog,58.74,Bhairahawa,Butwal,terai
33.53,22.95,56.23,motorcycle,fair,cloudy,66.24,Biratnagar,Dharan,terai
32.24,5.8,51.69,car,good,clear,46.33,Biratnagar,Dharan,terai
12.99,2.16,38.62,motorcycle,poor,clear,34.57,Pokhara,Sarangkot,hill
148.05,4.67,41.06,scooter,good,rain,353.03,Kathmandu,Chitwan,highway
19.98,0.93,47.99,jeep,good,clear,28.19,Bhairahawa,Butwal,terai
69.1,8.84,42.97,jeep,good,cloudy,152.69,Birgunj,Hetauda,terai
6.51,16.33,26.45,car,fair,clear,33.31,Kathmandu,Patan,city
65.33,7.53,48.02,microbus,fair,cloudy,153.16,Birgunj,Hetauda,terai
36.33,11.73,66.51,motorcycle,poor,clear,58.84,Dharan,Biratnagar,highway
31.48,5.13,26.83,truck,poor,clear,124.46,Kathmandu,Dhulikhel,hill
122.67,22.43,70.76,motorcycle,good,clear,120.77,Pokhara,Butwal,highway
7.4,4.47,30.82,jeep,poor,clear,23.61,Kathmandu,Patan,city
130.78,15.55,50.03,jeep,fair,clear,208.15,Pokhara,Butwal,highway
29.3,10.72,35.26,bus,good,cloudy,79.4,Kathmandu,Dhulikhel,hill
13.3,5.26,20.88,microbus,good,clear,43.23,Kathmandu,Bhaktapur,city
250.9,13.14,39.25,scooter,fair,clear,445.62,Kathmandu,Bhairahawa,highway
13.58,9.5,18.8,truck,good,clear,138.5,Pokhara,Sarangkot,hill
6.93,22.0,24.76,motorcycle,fair,fog,29.65,Kathmandu,Patan,city
15.1,19.75,20.58,microbus,good,dust,55.37,Pokhara,Lekhnath,city
138.55,1.06,62.73,motorcycle,good,clear,155.39,Kathmandu,Chitwan,highway
27.37,22.76,38.91,jeep,fair,rain,88.67,Kathmandu,Dhulikhel,hill
143.26,21.94,43.67,scooter,good,clear,217.44,Kathmandu,Birgunj,highway
37.13,14.1,60.09,jeep,good,cloudy,45.3,Dharan,Biratnagar,highway
12.69,12.8,24.93,bus,good,cloudy,49.77,Pokhara,Sarangkot,hill
12.1,7.91,40.04,motorcycle,good,rain,59.11,Pokhara,Sarangkot,hill
146.7,20.13,78.36,car,fair,clear,142.86,Kathmandu,Chitwan,highway
34.38,0.4,46.68,jeep,poor,cloudy,77.79,Biratnagar,Dharan,terai
6.94,5.83,17.57,jeep,fair,cloudy,33.21,Kathmandu,Patan,city
296.71,22.05,47.89,microbus,poor,clear,1114.85,Kathmandu,Bhairahawa,highway
403.14,13.53,52.53,scooter,good,cloudy,573.25,Kathmandu,Dharan,highway
7.66,7.83,18.42,jeep,poor,cloudy,91.34,Kathmandu,Patan,city
141.47,7.6,52.75,car,poor,cloudy,341.07,Kathmandu,Birgunj,highway
12.78,18.69,38.72,jeep,poor,clear,44.65,Pokhara,Sarangkot,hill
34.71,3.25,78.46,car,good,clear,30.55,Dharan,Biratnagar,highway
40.25,16.67,48.79,motorcycle,fair,cloudy,124.37,Dharan,Dhankuta,hill
446.79,19.09,77.21,motorcycle,excellent,clear,353.82,Kathmandu,Dharan,highway
13.52,19.49,19.43,scooter,excellent,cloudy,40.51,Kathmandu,Bhaktapur,city
22.26,16.5,47.72,microbus,good,clear,35.61,Bhairahawa,Butwal,terai
63.03,2.34,56.18,jeep,good,clear,116.18,Birgunj,Hetauda,terai
117.16,15.77,55.96,motorcycle,fair,clear,236.75,Pokhara,Butwal,highway
65.36,15.33,38.3,scooter,good,clear,117.75,Birgunj,Hetauda,terai
21.51,14.31,38.21,scooter,good,clear,36.09,Bhairahawa,Butwal,terai
7.65,12.13,25.5,motorcycle,good,fog,40.69,Kathmandu,Patan,city
262.23,13.03,53.01,bus,fair,clear,310.66,Kathmandu,Bhairahawa,highway
30.14,17.7,28.81,jeep,fair,clear,163.8,Kathmandu,Nagarkot,hill
254.96,17.99,85.32,motorcycle,poor,clear,466.73,Kathmandu,Bhairahawa,highway
411.84,17.99,70.28,jeep,good,cloudy,456.41,Kathmandu,Dharan,highway
28.94,6.8,25.59,scooter,fair,rain,230.13,Kathmandu,Dhulikhel,hill
12.11,22.38,21.49,bus,good,clear,48.48,Pokhara,Sarangkot,hill
180.32,8.24,79.64,car,good,clear,308.75,Kathmandu,Pokhara,highway
123.5,17.33,65.2,jeep,poor,cloudy,450.09,Pokhara,Butwal,highway
13.73,16.56,31.46,truck,poor,clear,106.68,Pokhara,Sarangkot,hill
38.91,20.65,23.39,scooter,fair,cloudy,185.92,Dharan,Dhankuta,hill
431.81,12.9,49.58,microbus,good,fog,901.36,Kathmandu,Dharan,highway
13.85,14.69,21.19,car,fair,clear,54.23,Pokhara,Lekhnath,city
289.93,0.7,47.16,truck,fair,cloudy,743.48,Kathmandu,Bhairahawa,highway
156.47,0.29,64.15,car,good,clear,302.59,Kathmandu,Chitwan,highway
136.64,19.3,78.62,car,excellent,rain,153.93,Kathmandu,Chitwan,highway
36.63,13.11,43.02,truck,excellent,clear,48.75,Dharan,Biratnagar,highway
159.8,3.42,42.23,bus,poor,cloudy,440.24,Kathmandu,Chitwan,highway
45.58,9.43,29.78,truck,good,clear,185.3,Dharan,Dhankuta,hill
391.24,16.46,53.36,truck,fair,rain,1529.41,Kathmandu,Dharan,highway
7.36,19.04,15.24,car,fair,clear,38.13,Biratnagar,Itahari,city
38.83,22.61,28.36,car,fair,clear,117.79,Dharan,Dhankuta,hill
133.96,9.19,61.58,motorcycle,poor,cloudy,319.82,Kathmandu,Chitwan,highway
28.99,19.45,20.94,bus,poor,cloudy,222.67,Kathmandu,Nagarkot,hill
116.9,14.21,54.11,truck,good,clear,141.46,Pokhara,Butwal,highway
28.93,11.47,34.69,bus,good,clear,64.83,Kathmandu,Nagarkot,hill
266.01,7.74,61.17,microbus,good,dust,432.78,Kathmandu,Bhairahawa,highway
217.95,22.76,83.07,motorcycle,fair,clear,206.19,Kathmandu,Pokhara,highway
447.02,16.07,68.94,jeep,good,clear,582.0,Kathmandu,Dharan,highway
68.75,13.87,46.63,truck,good,fog,163.15,Birgunj,Hetauda,terai
197.25,15.68,53.68,scooter,good,clear,253.43,Kathmandu,Pokhara,highway
197.1,7.07,61.88,jeep,good,clear,272.63,Kathmandu,Pokhara,highway
12.19,1.07,26.73,motorcycle,good,clear,28.95,Kathmandu,Bhaktapur,city
65.95,5.65,37.58,bus,poor,clear,195.19,Birgunj,Hetauda,terai
461.02,10.45,51.61,truck,fair,clear,724.2,Kathmandu,Dharan,highway
270.29,3.56,47.24,scooter,poor,fog,668.55,Kathmandu,Bhairahawa,highway
6.35,21.34,23.05,bus,excellent,fog,45.34,Kathmandu,Patan,city
31.37,14.51,28.76,car,good,rain,158.13,Kathmandu,Dhulikhel,hill
138.69,10.95,56.91,bus,good,rain,234.01,Kathmandu,Chitwan,highway
401.95,9.27,64.27,microbus,fair,fog,801.07,Kathmandu,Dharan,highway
30.65,22.62,39.91,jeep,fair,rain,148.23,Kathmandu,Dhulikhel,hill
12.48,2.59,31.73,car,good,rain,54.62,Pokhara,Sarangkot,hill
71.47,6.22,60.63,motorcycle,fair,cloudy,98.78,Birgunj,Hetauda,terai
119.84,11.29,51.98,jeep,fair,dust,207.28,Pokhara,Butwal,highway
417.67,4.67,76.02,car,good,clear,365.83,Kathmandu,Dharan,highway
120.34,1.39,64.03,motorcycle,fair,clear,134.22,Pokhara,Butwal,highway
44.16,12.74,38.53,car,fair,clear,117.04,Dharan,Dhankuta,hill
130.75,21.62,58.0,bus,good,clear,127.93,Kathmandu,Birgunj,highway
150.73,15.68,51.45,car,excellent,cloudy,181.36,Kathmandu,Chitwan,highway
275.64,14.82,42.74,bus,excellent,cloudy,405.7,Kathmandu,Bhairahawa,highway
454.18,20.04,58.34,jeep,poor,clear,737.2,Kathmandu,Dharan,highway
15.72,2.28,24.6,truck,excellent,cloudy,34.72,Pokhara,Lekhnath,city
68.9,15.57,36.88,truck,excellent,clear,117.45,Birgunj,Hetauda,terai
134.54,11.71,69.54,motorcycle,excellent,clear,119.36,Kathmandu,Birgunj,highway
31.88,15.92,29.43,jeep,fair,rain,289.03,Kathmandu,Nagarkot,hill
29.3,10.66,23.77,scooter,poor,cloudy,202.58,Kathmandu,Nagarkot,hill
8.72,8.72,31.33,car,fair,rain,62.25,Biratnagar,Itahari,city
250.02,3.94,63.46,microbus,fair,clear,303.83,Kathmandu,Bhairahawa,highway
7.93,14.14,12.38,scooter,good,rain,87.07,Biratnagar,Itahari,city
42.03,9.23,30.32,scooter,fair,clear,182.53,Dharan,Dhankuta,hill
35.87,6.97,62.11,bus,excellent,cloudy,39.62,Dharan,Biratnagar,highway
13.98,10.13,35.45,car,excellent,clear,27.47,Pokhara,Sarangkot,hill
37.55,17.81,38.31,scooter,fair,clear,116.3,Biratnagar,Dharan,terai
34.63,16.9,29.12,jeep,fair,cloudy,173.03,Kathmandu,Nagarkot,hill
27.03,11.19,21.93,microbus,poor,clear,172.01,Kathmandu,Dhulikhel,hill
34.32,8.38,52.35,microbus,good,clear,64.81,Biratnagar,Dharan,terai
41.0,19.1,32.72,car,fair,clear,135.43,Dharan,Dhankuta,hill
395.71,15.1,64.56,microbus,good,clear,397.74,Kathmandu,Dharan,highway
30.35,13.79,36.74,microbus,good,rain,164.12,Kathmandu,Dhulikhel,hill
401.65,22.23,68.04,motorcycle,fair,clear,412.85,Kathmandu,Dharan,highway
202.14,13.32,51.25,car,fair,rain,421.46,Kathmandu,Pokhara,highway
129.27,13.61,75.54,car,poor,cloudy,183.68,Pokhara,Butwal,highway
41.88,7.88,28.0,jeep,fair,clear,228.76,Dharan,Dhankuta,hill
12.97,2.61,33.42,jeep,fair,fog,50.79,Pokhara,Sarangkot,hill
34.8,18.6,43.85,bus,poor,cloudy,114.02,Biratnagar,Dharan,terai
126.66,13.57,59.27,truck,fair,fog,198.05,Pokhara,Butwal,highway
38.67,23.23,37.43,jeep,fair,clear,111.58,Dharan,Dhankuta,hill
200.07,3.33,48.36,microbus,fair,clear,286.29,Kathmandu,Pokhara,highway
189.75,3.07,38.38,scooter,fair,fog,484.84,Kathmandu,Pokhara,highway
69.77,4.09,41.45,truck,excellent,rain,137.23,Birgunj,Hetauda,terai
22.81,19.83,33.19,scooter,good,clear,43.59,Bhairahawa,Butwal,terai
151.77,10.29,48.35,truck,fair,rain,319.96,Kathmandu,Chitwan,highway
203.12,2.83,61.25,car,good,cloudy,201.1,Kathmandu,Pokhara,highway
121.76,13.31,63.72,bus,fair,clear,139.21,Pokhara,Butwal,highway
136.09,23.14,74.13,car,fair,fog,272.08,Kathmandu,Chitwan,highway
64.21,4.84,61.44,jeep,fair,clear,69.68,Birgunj,Hetauda,terai
35.12,17.68,77.58,car,fair,fog,65.97,Dharan,Biratnagar,highway
12.58,2.81,30.89,scooter,poor,clear,59.98,Pokhara,Sarangkot,hill
33.13,5.52,26.6,bus,good,clear,132.16,Kathmandu,Nagarkot,hill
34.99,4.79,51.54,jeep,good,clear,38.58,Dharan,Biratnagar,highway
41.94,23.64,29.66,scooter,good,cloudy,128.45,Dharan,Dhankuta,hill
180.47,5.06,37.12,scooter,good,clear,285.71,Kathmandu,Pokhara,highway
34.01,17.29,22.29,truck,good,clear,173.47,Kathmandu,Nagarkot,hill
143.03,16.57,56.46,car,good,clear,230.96,Kathmandu,Chitwan,highway
32.72,18.72,42.5,bus,fair,clear,73.75,Biratnagar,Dharan,terai
39.72,7.6,31.37,bus,fair,cloudy,190.65,Dharan,Dhankuta,hill
122.43,2.29,73.1,motorcycle,excellent,rain,154.79,Pokhara,Butwal,highway
150.78,20.64,60.74,bus,good,fog,235.52,Kathmandu,Chitwan,highway
65.52,19.3,57.97,motorcycle,good,clear,62.61,Birgunj,Hetauda,terai
33.9,13.15,28.25,microbus,fair,cloudy,127.81,Kathmandu,Nagarkot,hill
29.48,20.48,23.57,microbus,excellent,rain,118.54,Kathmandu,Dhulikhel,hill
61.32,10.08,48.74,truck,poor,rain,290.1,Birgunj,Hetauda,terai
31.26,23.39,33.79,microbus,excellent,rain,103.1,Kathmandu,Nagarkot,hill
14.01,20.72,29.3,microbus,good,cloudy,29.61,Kathmandu,Bhaktapur,city
435.62,8.12,51.57,truck,excellent,clear,664.74,Kathmandu,Dharan,highway
32.39,11.64,39.8,motorcycle,fair,clear,75.63,Kathmandu,Dhulikhel,hill
21.47,4.45,60.49,car,good,clear,23.06,Bhairahawa,Butwal,terai
381.68,22.5,64.77,microbus,good,clear,332.76,Kathmandu,Dharan,highway
417.32,15.33,53.39,bus,poor,rain,1501.52,Kathmandu,Dharan,highway
32.45,22.73,27.99,scooter,good,fog,157.38,Kathmandu,Nagarkot,hill
38.44,7.79,44.25,bus,fair,clear,82.01,Biratnagar,Dharan,terai
148.32,7.24,63.63,bus,good,clear,211.58,Kathmandu,Birgunj,highway
30.44,7.2,23.1,scooter,poor,clear,276.9,Kathmandu,Nagarkot,hill
40.72,19.6,47.97,motorcycle,excellent,cloudy,80.96,Dharan,Dhankuta,hill
8.4,13.8,19.44,car,good,clear,31.49,Biratnagar,Itahari,city
35.43,23.92,40.17,scooter,excellent,cloudy,92.06,Dharan,Biratnagar,highway
133.39,22.17,47.59,microbus,good,fog,376.94,Kathmandu,Birgunj,highway
35.32,18.0,45.14,scooter,fair,cloudy,79.01,Dharan,Biratnagar,highway
30.98,21.9,33.83,bus,excellent,clear,71.54,Kathmandu,Dhulikhel,hill
12.57,9.44,21.56,microbus,fair,rain,98.66,Pokhara,Sarangkot,hill
123.87,9.17,61.54,jeep,fair,clear,209.38,Kathmandu,Birgunj,highway
23.8,10.32,36.47,truck,poor,clear,74.99,Bhairahawa,Butwal,terai
27.91,4.51,24.39,microbus,fair,cloudy,101.3,Kathmandu,Dhulikhel,hill
60.29,4.64,55.21,car,poor,dust,138.02,Birgunj,Hetauda,terai
149.15,19.78,53.45,jeep,fair,cloudy,197.71,Kathmandu,Chitwan,highway
7.02,15.13,18.8,car,good,cloudy,30.71,Kathmandu,Patan,city
32.45,9.92,50.19,motorcycle,good,fog,115.24,Biratnagar,Dharan,terai
22.49,3.84,38.16,scooter,fair,rain,69.01,Bhairahawa,Butwal,terai
31.52,18.36,63.76,car,poor,rain,116.46,Dharan,Biratnagar,highway
31.84,3.56,54.42,jeep,excellent,cloudy,37.23,Dharan,Biratnagar,highway
8.4,8.64,16.86,car,good,rain,87.7,Biratnagar,Itahari,city
24.14,11.6,54.11,jeep,fair,clear,33.49,Bhairahawa,Butwal,terai
14.25,0.04,34.3,car,fair,fog,65.06,Pokhara,Sarangkot,hill
184.55,8.0,78.91,motorcycle,fair,fog,325.69,Kathmandu,Pokhara,highway
16.28,1.34,14.69,scooter,fair,rain,112.49,Pokhara,Lekhnath,city
6.56,2.8,22.52,truck,fair,rain,46.76,Kathmandu,Patan,city
70.26,3.7,54.47,bus,fair,cloudy,93.94,Birgunj,Hetauda,terai
151.46,14.26,60.0,car,poor,cloudy,243.47,Kathmandu,Chitwan,highway
27.69,22.99,24.7,scooter,good,rain,110.54,Kathmandu,Dhulikhel,hill
413.82,4.29,53.72,scooter,fair,cloudy,673.91,Kathmandu,Dharan,highway
7.36,7.45,26.28,jeep,good,dust,28.81,Biratnagar,Itahari,city
64.5,4.1,40.29,truck,fair,clear,132.04,Birgunj,Hetauda,terai
39.55,16.65,44.75,motorcycle,good,rain,166.31,Dharan,Dhankuta,hill
285.2,14.31,46.03,truck,good,clear,372.57,Kathmandu,Bhairahawa,highway
40.32,19.06,27.98,jeep,poor,rain,425.39,Dharan,Dhankuta,hill
294.87,20.77,53.51,microbus,fair,clear,403.79,Kathmandu,Bhairahawa,highway
121.81,15.55,60.89,microbus,good,dust,140.59,Kathmandu,Birgunj,highway
29.99,14.5,24.47,scooter,fair,cloudy,149.78,Kathmandu,Nagarkot,hill
29.79,1.88,18.74,scooter,good,cloudy,137.29,Kathmandu,Dhulikhel,hill
12.45,0.85,27.99,scooter,fair,clear,41.1,Pokhara,Sarangkot,hill
32.15,0.34,37.08,car,poor,clear,119.68,Kathmandu,Dhulikhel,hill
15.81,5.71,32.47,motorcycle,good,cloudy,30.49,Pokhara,Lekhnath,city
61.91,12.73,49.83,motorcycle,poor,cloudy,122.9,Birgunj,Hetauda,terai
30.93,9.38,28.88,truck,good,clear,101.98,Kathmandu,Dhulikhel,hill
31.74,14.86,78.16,car,fair,dust,32.33,Dharan,Biratnagar,highway
8.26,1.82,36.8,motorcycle,good,rain,20.88,Biratnagar,Itahari,city
35.77,4.28,58.58,motorcycle,fair,cloudy,46.96,Dharan,Biratnagar,highway
6.67,16.79,29.14,motorcycle,fair,cloudy,30.18,Kathmandu,Patan,city
12.74,15.17,24.13,jeep,fair,clear,43.42,Pokhara,Sarangkot,hill
32.48,4.63,71.9,jeep,good,clear,30.16,Dharan,Biratnagar,highway
21.82,16.27,43.81,truck,fair,dust,55.54,Bhairahawa,Butwal,terai
8.18,20.04,31.36,car,excellent,rain,32.0,Biratnagar,Itahari,city
148.72,8.05,58.22,car,fair,cloudy,247.38,Kathmandu,Chitwan,highway
437.37,14.24,49.99,bus,fair,rain,1055.1,Kathmandu,Dharan,highway
12.79,13.38,14.75,microbus,fair,cloudy,86.97,Kathmandu,Bhaktapur,city
129.25,1.03,54.83,jeep,good,clear,166.48,Pokhara,Butwal,highway
41.32,17.92,23.68,bus,excellent,clear,181.82,Dharan,Dhankuta,hill
14.24,4.85,13.3,microbus,fair,clear,96.63,Kathmandu,Bhaktapur,city
412.58,12.52,59.9,truck,fair,cloudy,537.98,Kathmandu,Dharan,highway
68.04,12.1,64.11,motorcycle,good,fog,76.03,Birgunj,Hetauda,terai
8.57,17.93,34.53,car,good,fog,33.58,Biratnagar,Itahari,city
35.53,4.97,42.32,jeep,poor,fog,123.02,Biratnagar,Dharan,terai
147.99,5.72,69.47,car,fair,fog,252.23,Kathmandu,Birgunj,highway
67.73,16.27,47.24,scooter,good,rain,178.33,Birgunj,Hetauda,terai
134.9,20.99,54.99,scooter,excellent,dust,158.58,Kathmandu,Birgunj,highway
43.31,18.88,40.55,motorcycle,fair,cloudy,136.03,Dharan,Dhankuta,hill
33.5,23.35,47.03,truck,poor,clear,62.04,Biratnagar,Dharan,terai
33.61,22.08,75.1,motorcycle,fair,fog,50.62,Biratnagar,Dharan,terai
7.74,2.69,36.3,motorcycle,excellent,clear,10.23,Biratnagar,Itahari,city
8.28,22.97,16.02,scooter,good,cloudy,33.56,Biratnagar,Itahari,city
8.39,9.97,22.85,motorcycle,fair,rain,76.89,Biratnagar,Itahari,city
29.49,13.33,32.72,jeep,poor,clear,125.54,Kathmandu,Dhulikhel,hill
60.11,15.98,44.34,bus,good,cloudy,88.98,Birgunj,Hetauda,terai
13.03,13.8,15.14,truck,fair,clear,82.13,Kathmandu,Bhaktapur,city
131.62,14.36,56.36,microbus,poor,cloudy,194.74,Pokhara,Butwal,highway
32.58,5.3,62.78,microbus,fair,fog,48.88,Dharan,Biratnagar,highway
8.62,14.34,25.8,truck,good,clear,25.41,Biratnagar,Itahari,city
13.63,2.59,21.15,truck,fair,clear,86.11,Pokhara,Lekhnath,city
12.62,20.51,22.18,truck,good,clear,41.12,Kathmandu,Bhaktapur,city
63.26,14.14,68.02,motorcycle,excellent,dust,57.34,Birgunj,Hetauda,terai
60.0,6.8,44.38,scooter,fair,cloudy,110.22,Birgunj,Hetauda,terai
22.7,2.04,46.64,microbus,fair,rain,57.03,Bhairahawa,Butwal,terai
31.54,19.22,35.33,motorcycle,fair,dust,87.84,Kathmandu,Dhulikhel,hill
39.08,14.92,40.2,car,fair,rain,183.84,Dharan,Dhankuta,hill
44.96,10.62,25.66,car,fair,fog,210.12,Dharan,Dhankuta,hill
29.97,23.29,26.97,scooter,fair,clear,158.22,Kathmandu,Dhulikhel,hill
13.24,21.84,42.38,car,excellent,clear,25.02,Pokhara,Sarangkot,hill
285.5,4.94,71.59,motorcycle,fair,clear,327.35,Kathmandu,Bhairahawa,highway
438.29,13.87,42.07,scooter,excellent,cloudy,599.72,Kathmandu,Dharan,highway
134.52,15.06,53.12,scooter,fair,cloudy,228.14,Pokhara,Butwal,highway
29.76,16.44,33.51,bus,good,cloudy,112.83,Kathmandu,Nagarkot,hill
15.44,0.89,17.39,microbus,excellent,cloudy,50.53,Pokhara,Lekhnath,city
411.34,20.15,40.66,truck,excellent,cloudy,579.06,Kathmandu,Dharan,highway
34.79,5.23,28.5,car,poor,cloudy,270.22,Kathmandu,Nagarkot,hill
155.97,15.89,70.72,car,fair,clear,171.16,Kathmandu,Chitwan,highway
11.93,19.74,26.31,microbus,poor,dust,89.28,Pokhara,Sarangkot,hill
292.84,16.76,36.39,scooter,good,fog,920.21,Kathmandu,Bhairahawa,highway
118.74,17.12,56.19,truck,fair,cloudy,239.05,Pokhara,Butwal,highway
